"ID","trajectory_uuid","head_uuid","uuid","area","col_centroid","convex_area","label","major_axis_length","max_col","max_row","min_col","min_row","minor_axis_length","orientation","perimeter","row_centroid","passtime","Δt","Δx","scaled_distance","relative_error_area","relative_error_convex_area","relative_error_major_axis_length","relative_error_minor_axis_length","shape_difference","scaled_shape_difference","psi_s_correlation","psi_s_correlation_score","w","satellite","dt_seconds","dx_meters","dxdt_mps"
1,"04ribhS2GOE8",NA,"NCBPGt1LlgAF",928,425.3556034482759,949.0,484,39.605795113581685,441,476,409,437,30.319777323694936,-0.14735878014423737,121.05382386916239,456.45366379310343,2023-05-16T12:11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aqua",NaN,NaN,NaN
1,"04ribhS2GOE8","NCBPGt1LlgAF","hmFfosGoC0eQ",923,425.9631635969664,942.0,472,39.751969335380316,442,476,410,437,30.028944539436235,-0.1560797128336394,120.8111831820431,456.75839653304445,2023-05-16T12:33:00,1320000 milliseconds,169.92486888858195,0.13703618458756608,0.005402485143165856,0.007403490216816499,0.0036839299295695627,0.009638407418745318,39.0,0.042,0.994,0.006000000000000005,0.2111644972958633,"terra",1320.0,169.92486888858195,0.12873096127922876
1,"04ribhS2GOE8","hmFfosGoC0eQ","YEulklcBQraC",910,428.9967032967033,922.0,456,39.29236645522113,444,497,412,458,30.207183787248095,0.01830678091881787,119.63961030678928,477.4274725274725,2023-05-17T12:53:00,87600000 milliseconds,5222.625450703182,0.07919068158761458,0.014184397163120567,0.02145922746781116,0.011628989618604304,0.005918018065344361,59.0,0.065,0.995,0.0050000000000000044,0.20238131390249497,"aqua",87600.0,5222.625450703182,0.059619011994328557
1,"04ribhS2GOE8","YEulklcBQraC","M2Sr0JJxajIb",877,428.73546180159633,915.0,443,39.76353495202012,444,498,412,459,29.286606330942874,0.021102052737963024,121.63961030678928,478.29532497149376,2023-05-17T13:14:00,1260000 milliseconds,226.57986772871345,0.18960658387340038,0.03693340794627868,0.007621121393576484,0.011919881714379842,0.030947009914022702,93.0,0.106,0.995,0.0050000000000000044,0.38802800484165806,"terra",1260.0,226.57986772871345,0.17982529184818527
1,"04ribhS2GOE8","M2Sr0JJxajIb","ff8dVZvIJawv",863,448.68945538818076,889.0,457,39.71202063550159,468,515,428,485,28.181620934175104,-1.2677267472984481,118.22539674441617,500.4380069524913,2023-05-18T13:35:00,87660000 milliseconds,7451.762481810288,0.11291404624305308,0.016091954022988506,0.028824833702882482,0.0012963562478479397,0.03845552401225618,153.0,0.177,0.988,0.01200000000000001,0.3865827142290282,"aqua",87660.0,7451.762481810288,0.08500755740144066
1,"04ribhS2GOE8","ff8dVZvIJawv","aCStD2Qd9aOp",858,449.37412587412587,881.0,450,39.25652656203946,469,515,429,485,28.39215558150127,-1.2633601282865312,118.46803743153545,500.74941724941726,2023-05-18T13:55:00,1200000 milliseconds,188.04089438135026,0.16351382120117414,0.005810575246949448,0.00903954802259887,0.011536088471342935,0.007442835189474352,41.0,0.048,0.999,0.0010000000000000009,0.24634286813153977,"terra",1200.0,188.04089438135026,0.15670074531779188
1,"04ribhS2GOE8","aCStD2Qd9aOp","gWjyryHhgZGH",909,456.6952695269527,951.0,431,39.99846488691641,476,544,437,511,29.555047730705272,-1.0337678892643112,124.81118318204308,528.1232123212321,2023-05-19T12:39:00,81840000 milliseconds,7083.977524222544,0.11494365608019705,0.057724957555178265,0.07641921397379912,0.018722816350432457,0.040136264831922924,87.0,0.096,0.983,0.017000000000000015,0.42094690879152974,"aqua",81840.0,7083.977524222544,0.08655886515423442
1,"04ribhS2GOE8","gWjyryHhgZGH","MogfN9kOi2AK",899,456.83426028921025,940.0,434,39.649522449429114,476,544,437,512,29.554621293657537,-1.0302995709604938,124.22539674441619,528.1612903225806,2023-05-19T12:58:00,1140000 milliseconds,36.02808468718318,0.032604601526862606,0.011061946902654867,0.011634056054997356,0.008762115632972524,1.4428673168853493e-5,73.0,0.081,0.995,0.0050000000000000044,0.1500771487906562,"terra",1140.0,36.02808468718318,0.03160358305893261
1,"04ribhS2GOE8","MogfN9kOi2AK","GWuVKm1woSdg",870,460.1908045977012,906.0,429,40.084044055245144,478,543,442,504,28.211617935636085,0.5933869578270111,125.71067811865474,523.9459770114943,2023-05-20T13:21:00,87780000 milliseconds,1347.1093126924695,0.020384494404062488,0.03278688524590164,0.03683640303358613,0.010899339509428748,0.046497863663605324,159.0,0.183,0.996,0.0040000000000000036,0.3344049858565843,"aqua",87780.0,1347.1093126924695,0.015346426437599333
2,"06UllNzRKBQj",NA,"CrSkesNP5aYx",947,978.1974656810982,1028.0,967,40.48289854861715,1001,506,958,474,31.27173887498121,1.2949337259374663,140.12489168102786,491.0031678986272,2023-05-17T12:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aqua",NaN,NaN,NaN
